"","X","Y","phase","predictions_gp","predictions_lin","lower_bound_gp","upper_bound_gp","stock","stock_type"
"247",247,0.0896678683746261,"train",NA,NA,NA,NA,"PSA","real estate"
"248",248,0.0763979443123419,"train",NA,NA,NA,NA,"PSA","real estate"
"249",249,0.0971849351844749,"train",NA,NA,NA,NA,"PSA","real estate"
"250",250,0.092045716038966,"train",NA,NA,NA,NA,"PSA","real estate"
"251",251,0.095957658970622,"train",NA,NA,NA,NA,"PSA","real estate"
"252",252,0.11007133542993,"train",NA,NA,NA,NA,"PSA","real estate"
"253",253,0.123878192835775,"train",NA,NA,NA,NA,"PSA","real estate"
"254",254,0.134079926363427,"train",NA,NA,NA,NA,"PSA","real estate"
"255",255,0.135077088287183,"train",NA,NA,NA,NA,"PSA","real estate"
"256",256,0.142824269387129,"train",NA,NA,NA,NA,"PSA","real estate"
"257",257,0.152258955281123,"train",NA,NA,NA,NA,"PSA","real estate"
"258",258,0.161156707831556,"train",NA,NA,NA,NA,"PSA","real estate"
"259",259,0.157628288716729,"train",NA,NA,NA,NA,"PSA","real estate"
"260",260,0.15962261256424,"train",NA,NA,NA,NA,"PSA","real estate"
"261",261,0.157551583953363,"train",NA,NA,NA,NA,"PSA","real estate"
"262",262,0.159545907800874,"train",NA,NA,NA,NA,"PSA","real estate"
"263",263,0.166909565083992,"train",NA,NA,NA,NA,"PSA","real estate"
"264",264,0.162690803098873,"train",NA,NA,NA,NA,"PSA","real estate"
"265",265,0.158318631587021,"train",NA,NA,NA,NA,"PSA","real estate"
"266",266,0.17718800337501,"train",NA,NA,NA,NA,"PSA","real estate"
"267",267,0.17481015571067,"train",NA,NA,NA,NA,"PSA","real estate"
"268",268,0.191685203651147,"train",NA,NA,NA,NA,"PSA","real estate"
"269",269,0.193832937025389,"train",NA,NA,NA,NA,"PSA","real estate"
"270",270,0.179719260566081,"train",NA,NA,NA,NA,"PSA","real estate"
"271",271,0.166065812686968,"train",NA,NA,NA,NA,"PSA","real estate"
"272",272,0.162077164991946,"train",NA,NA,NA,NA,"PSA","real estate"
"273",273,0.168060136534479,"train",NA,NA,NA,NA,"PSA","real estate"
"274",274,0.160312955434533,"train",NA,NA,NA,NA,"PSA","real estate"
"275",275,0.162997622152336,"train",NA,NA,NA,NA,"PSA","real estate"
"276",276,0.170821508015648,"train",NA,NA,NA,NA,"PSA","real estate"
"277",277,0.170284574672087,"train",NA,NA,NA,NA,"PSA","real estate"
"278",278,0.172278898519598,"train",NA,NA,NA,NA,"PSA","real estate"
"279",279,0.161003298304825,"train",NA,NA,NA,NA,"PSA","real estate"
"280",280,0.166372631740431,"train",NA,NA,NA,NA,"PSA","real estate"
"281",281,0.179949374856179,"train",NA,NA,NA,NA,"PSA","real estate"
"282",282,0.168750479404771,"train",NA,NA,NA,NA,"PSA","real estate"
"283",283,0.17626754621462,"train",NA,NA,NA,NA,"PSA","real estate"
