"","X","Y","phase","predictions_gp","predictions_lin","lower_bound_gp","upper_bound_gp","stock","stock_type"
"178",178,0.0155246161449191,"train",NA,NA,NA,NA,"NVDA","information tech"
"179",179,0.014378589321927,"train",NA,NA,NA,NA,"NVDA","information tech"
"180",180,0.0138843918815289,"train",NA,NA,NA,NA,"NVDA","information tech"
"181",181,0.0132666450810313,"train",NA,NA,NA,NA,"NVDA","information tech"
"182",182,0.0131388353981698,"train",NA,NA,NA,NA,"NVDA","information tech"
"183",183,0.0132240418534108,"train",NA,NA,NA,NA,"NVDA","information tech"
"184",184,0.0131814386257903,"train",NA,NA,NA,NA,"NVDA","information tech"
"185",185,0.0130493686201667,"train",NA,NA,NA,NA,"NVDA","information tech"
"186",186,0.0133305499224621,"train",NA,NA,NA,NA,"NVDA","information tech"
"187",187,0.0114773095209693,"train",NA,NA,NA,NA,"NVDA","information tech"
"188",188,0.0113921030657283,"train",NA,NA,NA,NA,"NVDA","information tech"
"189",189,0.0118181353419335,"train",NA,NA,NA,NA,"NVDA","information tech"
"190",190,0.0103057207614049,"train",NA,NA,NA,NA,"NVDA","information tech"
"191",191,0.0146299483648881,"train",NA,NA,NA,NA,"NVDA","information tech"
"192",192,0.0151837903239549,"train",NA,NA,NA,NA,"NVDA","information tech"
"193",193,0.0152902983930063,"train",NA,NA,NA,NA,"NVDA","information tech"
"194",194,0.0171435387944991,"train",NA,NA,NA,NA,"NVDA","information tech"
"195",195,0.0174417613878427,"train",NA,NA,NA,NA,"NVDA","information tech"
"196",196,0.0172287452497401,"train",NA,NA,NA,NA,"NVDA","information tech"
"197",197,0.0155672193725397,"train",NA,NA,NA,NA,"NVDA","information tech"
"198",198,0.0141187096334418,"train",NA,NA,NA,NA,"NVDA","information tech"
"199",199,0.0131388353981698,"train",NA,NA,NA,NA,"NVDA","information tech"
"200",200,0.0136500741296161,"train",NA,NA,NA,NA,"NVDA","information tech"
"201",201,0.0130110257153082,"train",NA,NA,NA,NA,"NVDA","information tech"
"202",202,0.0144169322267855,"train",NA,NA,NA,NA,"NVDA","information tech"
"203",203,0.0149707741858523,"train",NA,NA,NA,NA,"NVDA","information tech"
"204",204,0.0152263935515755,"train",NA,NA,NA,NA,"NVDA","information tech"
"205",205,0.0148003612753702,"train",NA,NA,NA,NA,"NVDA","information tech"
"206",206,0.0154394096896781,"train",NA,NA,NA,NA,"NVDA","information tech"
"207",207,0.0153968064620576,"train",NA,NA,NA,NA,"NVDA","information tech"
"208",208,0.0163340774697091,"train",NA,NA,NA,NA,"NVDA","information tech"
"209",209,0.0152263935515755,"train",NA,NA,NA,NA,"NVDA","information tech"
"210",210,0.0142465193163034,"train",NA,NA,NA,NA,"NVDA","information tech"
"211",211,0.0131175337843595,"train",NA,NA,NA,NA,"NVDA","information tech"
"212",212,0.0146299483648881,"train",NA,NA,NA,NA,"NVDA","information tech"
"213",213,0.0139908999505803,"train",NA,NA,NA,NA,"NVDA","information tech"
"214",214,0.0127128031219645,"train",NA,NA,NA,NA,"NVDA","information tech"
"215",215,0.0123293740733798,"train",NA,NA,NA,NA,"NVDA","information tech"
"216",216,0.0124145805286208,"train",NA,NA,NA,NA,"NVDA","information tech"
"217",217,0.0127128031219645,"train",NA,NA,NA,NA,"NVDA","information tech"
"218",218,0.0136074709019955,"train",NA,NA,NA,NA,"NVDA","information tech"
"219",219,0.0138630902677187,"train",NA,NA,NA,NA,"NVDA","information tech"
"220",220,0.0151624887101447,"train",NA,NA,NA,NA,"NVDA","information tech"
"221",221,0.0155672193725397,"train",NA,NA,NA,NA,"NVDA","information tech"
"222",222,0.0157376322830218,"train",NA,NA,NA,NA,"NVDA","information tech"
"223",223,0.0150985838687139,"train",NA,NA,NA,NA,"NVDA","information tech"
"224",224,0.0154820129172986,"train",NA,NA,NA,NA,"NVDA","information tech"
"225",225,0.0163766806973296,"train",NA,NA,NA,NA,"NVDA","information tech"
"226",226,0.0165896968354323,"train",NA,NA,NA,NA,"NVDA","information tech"
"227",227,0.0159080451935039,"train",NA,NA,NA,NA,"NVDA","information tech"
"228",228,0.0150985838687139,"train",NA,NA,NA,NA,"NVDA","information tech"
"229",229,0.0159932516487449,"train",NA,NA,NA,NA,"NVDA","information tech"
"230",230,0.0171009355668786,"train",NA,NA,NA,NA,"NVDA","information tech"
"231",231,0.0180382065745301,"train",NA,NA,NA,NA,"NVDA","information tech"
"232",232,0.0154394096896781,"train",NA,NA,NA,NA,"NVDA","information tech"
"233",233,0.015354203234437,"train",NA,NA,NA,NA,"NVDA","information tech"
"234",234,0.0137778838124776,"train",NA,NA,NA,NA,"NVDA","information tech"
"235",235,0.0158228387382628,"train",NA,NA,NA,NA,"NVDA","information tech"
"236",236,0.0165470936078117,"train",NA,NA,NA,NA,"NVDA","information tech"
"237",237,0.0167601097459143,"train",NA,NA,NA,NA,"NVDA","information tech"
"238",238,0.0164618871525707,"train",NA,NA,NA,NA,"NVDA","information tech"
"239",239,0.0167175065182938,"train",NA,NA,NA,NA,"NVDA","information tech"
"240",240,0.0166323000630528,"train",NA,NA,NA,NA,"NVDA","information tech"
"241",241,0.0163766806973296,"train",NA,NA,NA,NA,"NVDA","information tech"
"242",242,0.0146299483648881,"train",NA,NA,NA,NA,"NVDA","information tech"
"243",243,0.0142039160886829,"train",NA,NA,NA,NA,"NVDA","information tech"
"244",244,0.0148429645029907,"train",NA,NA,NA,NA,"NVDA","information tech"
"245",245,0.0142039160886829,"train",NA,NA,NA,NA,"NVDA","information tech"
"246",246,0.0153116000068165,"train",NA,NA,NA,NA,"NVDA","information tech"
"247",247,0.0152263935515755,"train",NA,NA,NA,NA,"NVDA","information tech"
"248",248,0.0143317257715445,"train",NA,NA,NA,NA,"NVDA","information tech"
"249",249,0.0147151548201292,"train",NA,NA,NA,NA,"NVDA","information tech"
"250",250,0.0141187096334418,"train",NA,NA,NA,NA,"NVDA","information tech"
"251",251,0.0149707741858523,"train",NA,NA,NA,NA,"NVDA","information tech"
"252",252,0.0159506484211244,"train",NA,NA,NA,NA,"NVDA","information tech"
"253",253,0.016163664559227,"train",NA,NA,NA,NA,"NVDA","information tech"
"254",254,0.0175695710707043,"train",NA,NA,NA,NA,"NVDA","information tech"
"255",255,0.0200405582726947,"train",NA,NA,NA,NA,"NVDA","information tech"
"256",256,0.0222985293365825,"train",NA,NA,NA,NA,"NVDA","information tech"
"257",257,0.0246417068557114,"train",NA,NA,NA,NA,"NVDA","information tech"
"258",258,0.0245991036280909,"train",NA,NA,NA,NA,"NVDA","information tech"
"259",259,0.0256215810909835,"train",NA,NA,NA,NA,"NVDA","information tech"
"260",260,0.028348187658697,"train",NA,NA,NA,NA,"NVDA","information tech"
"261",261,0.0277517424720097,"train",NA,NA,NA,NA,"NVDA","information tech"
"262",262,0.0289020296177638,"train",NA,NA,NA,NA,"NVDA","information tech"
"263",263,0.0281777747482149,"train",NA,NA,NA,NA,"NVDA","information tech"
"264",264,0.0280499650653534,"train",NA,NA,NA,NA,"NVDA","information tech"
"265",265,0.0271552972853223,"train",NA,NA,NA,NA,"NVDA","information tech"
"266",266,0.026644058553876,"train",NA,NA,NA,NA,"NVDA","information tech"
"267",267,0.0262606295052913,"train",NA,NA,NA,NA,"NVDA","information tech"
"268",268,0.0270700908300813,"train",NA,NA,NA,NA,"NVDA","information tech"
"269",269,0.0277517424720097,"train",NA,NA,NA,NA,"NVDA","information tech"
"270",270,0.026644058553876,"train",NA,NA,NA,NA,"NVDA","information tech"
"271",271,0.026558852098635,"train",NA,NA,NA,NA,"NVDA","information tech"
"272",272,0.0254085649528808,"train",NA,NA,NA,NA,"NVDA","information tech"
"273",273,0.0261754230500503,"train",NA,NA,NA,NA,"NVDA","information tech"
"274",274,0.0263884391881529,"train",NA,NA,NA,NA,"NVDA","information tech"
"275",275,0.0239174519861625,"train",NA,NA,NA,NA,"NVDA","information tech"
"276",276,0.0242582778071267,"train",NA,NA,NA,NA,"NVDA","information tech"
"277",277,0.0242582778071267,"train",NA,NA,NA,NA,"NVDA","information tech"
"278",278,0.0260476133671887,"train",NA,NA,NA,NA,"NVDA","information tech"
"279",279,0.0273896150372352,"train",NA,NA,NA,NA,"NVDA","information tech"
"280",280,0.027453519878666,"train",NA,NA,NA,NA,"NVDA","information tech"
"281",281,0.0273257101958044,"train",NA,NA,NA,NA,"NVDA","information tech"
"282",282,0.0269422811472197,"train",NA,NA,NA,NA,"NVDA","information tech"
"283",283,0.0269422811472197,"train",NA,NA,NA,NA,"NVDA","information tech"
"284",284,0.0251529455871577,"train",NA,NA,NA,NA,"NVDA","information tech"
"285",285,0.0241304681242651,"train",NA,NA,NA,NA,"NVDA","information tech"
"286",286,0.0245991036280909,"train",NA,NA,NA,NA,"NVDA","information tech"
"287",287,0.0246417068557114,"train",NA,NA,NA,NA,"NVDA","information tech"
"288",288,0.0277943456996302,"train",NA,NA,NA,NA,"NVDA","information tech"
"289",289,0.0272831069681839,"train",NA,NA,NA,NA,"NVDA","information tech"
"290",290,0.0281351715205944,"train",NA,NA,NA,NA,"NVDA","information tech"
"291",291,0.025664184318604,"train",NA,NA,NA,NA,"NVDA","information tech"
"292",292,0.0259198036843271,"train",NA,NA,NA,NA,"NVDA","information tech"
"293",293,0.0286890134796612,"train",NA,NA,NA,NA,"NVDA","information tech"
"294",294,0.0286038070244202,"train",NA,NA,NA,NA,"NVDA","information tech"
"295",295,0.026644058553876,"train",NA,NA,NA,NA,"NVDA","information tech"
"296",296,0.0255363746357424,"train",NA,NA,NA,NA,"NVDA","information tech"
"297",297,0.0263884391881529,"train",NA,NA,NA,NA,"NVDA","information tech"
"298",298,0.0269422811472197,"train",NA,NA,NA,NA,"NVDA","information tech"
"299",299,0.0271126940577018,"train",NA,NA,NA,NA,"NVDA","information tech"
"300",300,0.0274109166510455,"train",NA,NA,NA,NA,"NVDA","information tech"
"301",301,0.0280499650653534,"train",NA,NA,NA,NA,"NVDA","information tech"
"302",302,0.0287316167072818,"train",NA,NA,NA,NA,"NVDA","information tech"
"303",303,0.0296688877149333,"train",NA,NA,NA,NA,"NVDA","information tech"
"304",304,0.0303931425844822,"train",NA,NA,NA,NA,"NVDA","information tech"
"305",305,0.0281351715205944,"train",NA,NA,NA,NA,"NVDA","information tech"
"306",306,0.0277943456996302,"train",NA,NA,NA,NA,"NVDA","information tech"
"307",307,0.0279647586101123,"train",NA,NA,NA,NA,"NVDA","information tech"
"308",308,0.0270274876024608,"train",NA,NA,NA,NA,"NVDA","information tech"
"309",309,0.027453519878666,"train",NA,NA,NA,NA,"NVDA","information tech"
"310",310,0.0268570746919787,"train",NA,NA,NA,NA,"NVDA","information tech"
"311",311,0.0277091392443892,"train",NA,NA,NA,NA,"NVDA","information tech"
"312",312,0.0260902165948092,"train",NA,NA,NA,NA,"NVDA","information tech"
"313",313,0.0261967246638605,"train",NA,NA,NA,NA,"NVDA","information tech"
"314",314,0.0271552972853223,"train",NA,NA,NA,NA,"NVDA","information tech"
"315",315,0.0252381520423987,"train",NA,NA,NA,NA,"NVDA","information tech"
"316",316,0.0274961231062865,"train",NA,NA,NA,NA,"NVDA","information tech"
"317",317,0.0262180262776708,"train",NA,NA,NA,NA,"NVDA","information tech"
"318",318,0.0254511681805014,"train",NA,NA,NA,NA,"NVDA","information tech"
"319",319,0.0250251359042961,"train",NA,NA,NA,NA,"NVDA","information tech"
"320",320,0.024854722993814,"train",NA,NA,NA,NA,"NVDA","information tech"
"321",321,0.0273257101958044,"train",NA,NA,NA,NA,"NVDA","information tech"
"322",322,0.0260476133671887,"train",NA,NA,NA,NA,"NVDA","information tech"
"323",323,0.0260476133671887,"train",NA,NA,NA,NA,"NVDA","information tech"
"324",324,0.0263884391881529,"train",NA,NA,NA,NA,"NVDA","information tech"
"325",325,0.0271126940577018,"train",NA,NA,NA,NA,"NVDA","information tech"
"326",326,0.0285186005691791,"train",NA,NA,NA,NA,"NVDA","information tech"
"327",327,0.0292002522111075,"train",NA,NA,NA,NA,"NVDA","information tech"
"328",328,0.0290724425282459,"train",NA,NA,NA,NA,"NVDA","information tech"
"329",329,0.0292854586663486,"train",NA,NA,NA,NA,"NVDA","information tech"
"330",330,0.0290298393006254,"train",NA,NA,NA,NA,"NVDA","information tech"
