"error","timepoint","model","stock","stock_type"
0.0292921196695525,86,"Linear","PSX","health care"
0.000469032742797908,86,"GP","PSX","health care"
0.0280106453701738,87,"Linear","PSX","health care"
0.000486289708381765,87,"GP","PSX","health care"
0.0284375946113935,88,"Linear","PSX","health care"
0.000527223829023088,88,"GP","PSX","health care"
0.0255408042351276,89,"Linear","PSX","health care"
0.000181480449529681,89,"GP","PSX","health care"
0.013800192955964,90,"Linear","PSX","health care"
0.000879656331398279,90,"GP","PSX","health care"
0.0110171328453054,91,"Linear","PSX","health care"
0.00163612166351115,91,"GP","PSX","health care"
0.00936313699508768,92,"Linear","PSX","health care"
0.0024360810001844,92,"GP","PSX","health care"
0.0175881327346006,93,"Linear","PSX","health care"
4.8976757329148e-05,93,"GP","PSX","health care"
0.0160394813460455,94,"Linear","PSX","health care"
0.000408717017898545,94,"GP","PSX","health care"
0.00817929535172584,95,"Linear","PSX","health care"
0.00218284685676685,95,"GP","PSX","health care"
0.00716048779864746,96,"Linear","PSX","health care"
0.0033752186528808,96,"GP","PSX","health care"
0.0137866899499147,97,"Linear","PSX","health care"
0.000138579399900573,97,"GP","PSX","health care"
0.0169305820078336,98,"Linear","PSX","health care"
5.10941205297013e-06,98,"GP","PSX","health care"
0.0167918851070869,99,"Linear","PSX","health care"
2.95785091083685e-05,99,"GP","PSX","health care"
0.0106217818662347,100,"Linear","PSX","health care"
0.000992051099689871,100,"GP","PSX","health care"
0.0107320251504924,101,"Linear","PSX","health care"
0.000438198085254415,101,"GP","PSX","health care"
0.00955047514897393,102,"Linear","PSX","health care"
0.00075184243297945,102,"GP","PSX","health care"
0.00539542184570464,103,"Linear","PSX","health care"
0.00220920298738157,103,"GP","PSX","health care"
0.00517827804647066,104,"Linear","PSX","health care"
0.00214648844658259,104,"GP","PSX","health care"
0.00314945896074904,105,"Linear","PSX","health care"
0.00327146693027883,105,"GP","PSX","health care"
0.0019039326386534,106,"Linear","PSX","health care"
0.00500002744522771,106,"GP","PSX","health care"
0.00401811423983539,107,"Linear","PSX","health care"
0.00196578238142186,107,"GP","PSX","health care"
0.00518640701668628,108,"Linear","PSX","health care"
0.000924033923337025,108,"GP","PSX","health care"
0.00340000045071767,109,"Linear","PSX","health care"
0.00166026967309397,109,"GP","PSX","health care"
0.00373775893417606,110,"Linear","PSX","health care"
0.00145463105379382,110,"GP","PSX","health care"
0.00399156633241494,111,"Linear","PSX","health care"
0.000868733765346533,111,"GP","PSX","health care"
